PRI_INDEX,ROUTING_SET,START_TIME,STOP_TIME,HOUR,MINUTE,Req w/ Unp,Req,Sch,Schedule Tally Delta,Net,APS,Dev,Adh,Status,Lock
192,NetClaim Multiskill - Global,4/1/2022,4/2/2022,23,45,1.32,1.32,2,,0.68,,,,Unavailable,0
193,NetClaim Multiskill - Global,4/2/2022,4/3/2022,0,0,1.94,1.94,2,,0.06,,,,Unavailable,0
194,NetClaim Multiskill - Global,4/2/2022,4/3/2022,0,15,2.88,2.88,3,,0.12,,,,Unavailable,0
195,NetClaim Multiskill - Global,4/2/2022,4/3/2022,0,30,0,0,3,,3,,,,Unavailable,0
196,NetClaim Multiskill - Global,4/2/2022,4/3/2022,0,45,0,0,3,,3,,,,Unavailable,0
197,NetClaim Multiskill - Global,4/2/2022,4/3/2022,1,0,0,0,3,,3,,,,Unavailable,0
198,NetClaim Multiskill - Global,4/2/2022,4/3/2022,1,15,0,0,3,,3,,,,Unavailable,0
199,NetClaim Multiskill - Global,4/2/2022,4/3/2022,1,30,0,0,3,,3,,,,Unavailable,0
200,NetClaim Multiskill - Global,4/2/2022,4/3/2022,1,45,0,0,0,,0,,,,Unavailable,0
201,NetClaim Multiskill - Global,4/2/2022,4/3/2022,2,0,2,2,2,,0,,,,Unavailable,0
202,NetClaim Multiskill - Global,4/2/2022,4/3/2022,2,15,2.38,2.38,2,,-0.38,,,,Unavailable,0
203,NetClaim Multiskill - Global,4/2/2022,4/3/2022,2,30,0,0,2,,2,,,,Unavailable,0
204,NetClaim Multiskill - Global,4/2/2022,4/3/2022,2,45,3,3,3,,0,,,,Unavailable,0
205,NetClaim Multiskill - Global,4/2/2022,4/3/2022,3,0,0,0,3,,3,,,,Unavailable,0
206,NetClaim Multiskill - Global,4/2/2022,4/3/2022,3,15,0,0,2.33,,2.33,,,,Unavailable,0
207,NetClaim Multiskill - Global,4/2/2022,4/3/2022,3,30,0.79,0.79,1,,0.21,,,,Unavailable,0
208,NetClaim Multiskill - Global,4/2/2022,4/3/2022,3,45,0,0,1,,1,,,,Unavailable,0
209,NetClaim Multiskill - Global,4/2/2022,4/3/2022,4,0,0,0,1,,1,,,,Unavailable,0
210,NetClaim Multiskill - Global,4/2/2022,4/3/2022,4,15,0,0,1,,1,,,,Unavailable,0
211,NetClaim Multiskill - Global,4/2/2022,4/3/2022,4,30,2.38,2.38,2,,-0.38,,,,Unavailable,0
212,NetClaim Multiskill - Global,4/2/2022,4/3/2022,4,45,2.38,2.38,2,,-0.38,,,,Unavailable,0
213,NetClaim Multiskill - Global,4/2/2022,4/3/2022,5,0,0,0,2,,2,,,,Unavailable,0
214,NetClaim Multiskill - Global,4/2/2022,4/3/2022,5,15,0,0,2,,2,,,,Unavailable,0
215,NetClaim Multiskill - Global,4/2/2022,4/3/2022,5,30,2.38,2.38,1,,-1.38,,,,Unavailable,0
216,NetClaim Multiskill - Global,4/2/2022,4/3/2022,5,45,0,0,4,,4,,,,Unavailable,0
217,NetClaim Multiskill - Global,4/2/2022,4/3/2022,6,0,0,0,4,,4,,,,Unavailable,0
218,NetClaim Multiskill - Global,4/2/2022,4/3/2022,6,15,0,0,3.67,,3.67,,,,Unavailable,0
219,NetClaim Multiskill - Global,4/2/2022,4/3/2022,6,30,0,0,3,,3,,,,Unavailable,0
220,NetClaim Multiskill - Global,4/2/2022,4/3/2022,6,45,0,0,3,,3,,,,Unavailable,0
221,NetClaim Multiskill - Global,4/2/2022,4/3/2022,7,0,0,0,4,,4,,,,Unavailable,0
222,NetClaim Multiskill - Global,4/2/2022,4/3/2022,7,15,2.38,2.38,5,,2.62,,,,Unavailable,0
223,NetClaim Multiskill - Global,4/2/2022,4/3/2022,7,30,3.43,3.43,5,,1.57,,,,Unavailable,0
224,NetClaim Multiskill - Global,4/2/2022,4/3/2022,7,45,2.38,2.38,2.67,,0.29,,,,Unavailable,0
225,NetClaim Multiskill - Global,4/2/2022,4/3/2022,8,0,4.14,4.14,8,,3.86,,,,Unavailable,0
226,NetClaim Multiskill - Global,4/2/2022,4/3/2022,8,15,4.14,4.14,8,,3.86,,,,Unavailable,0
227,NetClaim Multiskill - Global,4/2/2022,4/3/2022,8,30,6.12,6.12,7,,0.88,,,,Unavailable,0
228,NetClaim Multiskill - Global,4/2/2022,4/3/2022,8,45,4.14,4.14,7,,2.86,,,,Unavailable,0
229,NetClaim Multiskill - Global,4/2/2022,4/3/2022,9,0,4.14,4.14,8,,3.86,,,,Unavailable,0
230,NetClaim Multiskill - Global,4/2/2022,4/3/2022,9,15,5.34,5.34,7,,1.66,,,,Unavailable,0
231,NetClaim Multiskill - Global,4/2/2022,4/3/2022,9,30,5.34,5.34,8,,2.66,,,,Unavailable,0
232,NetClaim Multiskill - Global,4/2/2022,4/3/2022,9,45,0,0,7,,7,,,,Unavailable,0
233,NetClaim Multiskill - Global,4/2/2022,4/3/2022,10,0,4.14,4.14,5,,0.86,,,,Unavailable,0
234,NetClaim Multiskill - Global,4/2/2022,4/3/2022,10,15,3.88,3.88,7,,3.12,,,,Unavailable,0
235,NetClaim Multiskill - Global,4/2/2022,4/3/2022,10,30,6.48,6.48,9,,2.52,,,,Unavailable,0
236,NetClaim Multiskill - Global,4/2/2022,4/3/2022,10,45,6.48,6.48,9,,2.52,,,,Unavailable,0
237,NetClaim Multiskill - Global,4/2/2022,4/3/2022,11,0,8.74,8.74,10,,1.26,,,,Unavailable,0
238,NetClaim Multiskill - Global,4/2/2022,4/3/2022,11,15,5.39,5.39,10,,4.61,,,,Unavailable,0
239,NetClaim Multiskill - Global,4/2/2022,4/3/2022,11,30,6.75,6.75,8,,1.25,,,,Unavailable,0
