,dIntervalStart,nEnteredAcd,Start
424,3/13/2022 19:30,1,2022-03-13 19:30:00
425,3/13/2022 19:45,1,2022-03-13 19:45:00
426,3/13/2022 1:00,1,2022-03-13 01:00:00
427,3/13/2022 1:30,1,2022-03-13 01:30:00
428,3/13/2022 1:45,1,2022-03-13 01:45:00
429,3/13/2022 20:00,1,2022-03-13 20:00:00
430,3/13/2022 20:15,1,2022-03-13 20:15:00
431,3/13/2022 20:30,1,2022-03-13 20:30:00
432,3/13/2022 20:45,1,2022-03-13 20:45:00
433,3/13/2022 21:00,1,2022-03-13 21:00:00
434,3/13/2022 21:15,1,2022-03-13 21:15:00
435,3/13/2022 21:30,1,2022-03-13 21:30:00
436,3/13/2022 21:45,1,2022-03-13 21:45:00
437,3/13/2022 22:00,1,2022-03-13 22:00:00
438,3/13/2022 22:15,1,2022-03-13 22:15:00
439,3/13/2022 22:30,1,2022-03-13 22:30:00
440,3/13/2022 22:45,1,2022-03-13 22:45:00
441,3/13/2022 23:00,1,2022-03-13 23:00:00
442,3/13/2022 23:15,1,2022-03-13 23:15:00
443,3/13/2022 23:30,1,2022-03-13 23:30:00
444,3/13/2022 23:45,1,2022-03-13 23:45:00
445,3/13/2022 3:00,1,2022-03-13 03:00:00
446,3/13/2022 3:15,1,2022-03-13 03:15:00
447,3/13/2022 3:45,1,2022-03-13 03:45:00
448,3/13/2022 4:00,1,2022-03-13 04:00:00
449,3/13/2022 4:15,1,2022-03-13 04:15:00
450,3/13/2022 4:30,1,2022-03-13 04:30:00
451,3/13/2022 4:45,1,2022-03-13 04:45:00
452,3/13/2022 5:00,1,2022-03-13 05:00:00
453,3/13/2022 5:30,1,2022-03-13 05:30:00
454,3/13/2022 5:45,1,2022-03-13 05:45:00
455,3/13/2022 6:00,1,2022-03-13 06:00:00
456,3/13/2022 6:15,1,2022-03-13 06:15:00
457,3/13/2022 6:30,1,2022-03-13 06:30:00
458,3/13/2022 6:45,1,2022-03-13 06:45:00
459,3/13/2022 7:00,1,2022-03-13 07:00:00
460,3/13/2022 7:15,1,2022-03-13 07:15:00
461,3/13/2022 7:30,1,2022-03-13 07:30:00
462,3/13/2022 7:45,1,2022-03-13 07:45:00
463,3/13/2022 8:00,1,2022-03-13 08:00:00
464,3/13/2022 8:15,1,2022-03-13 08:15:00
465,3/13/2022 8:30,1,2022-03-13 08:30:00
466,3/13/2022 8:45,1,2022-03-13 08:45:00
467,3/13/2022 9:00,1,2022-03-13 09:00:00
468,3/13/2022 9:15,1,2022-03-13 09:15:00
469,3/13/2022 9:30,1,2022-03-13 09:30:00
470,3/13/2022 9:45,1,2022-03-13 09:45:00
471,3/14/2022 0:00,1,2022-03-14 00:00:00
472,3/14/2022 0:15,1,2022-03-14 00:15:00
473,3/14/2022 0:30,1,2022-03-14 00:30:00
474,3/14/2022 0:45,1,2022-03-14 00:45:00
475,3/14/2022 10:00,1,2022-03-14 10:00:00
476,3/14/2022 10:15,1,2022-03-14 10:15:00
477,3/14/2022 10:30,1,2022-03-14 10:30:00
478,3/14/2022 10:45,1,2022-03-14 10:45:00
479,3/14/2022 11:00,1,2022-03-14 11:00:00
480,3/14/2022 11:15,1,2022-03-14 11:15:00
481,3/14/2022 11:30,1,2022-03-14 11:30:00
482,3/14/2022 11:45,1,2022-03-14 11:45:00
483,3/14/2022 12:00,1,2022-03-14 12:00:00
484,3/14/2022 12:15,1,2022-03-14 12:15:00
485,3/14/2022 12:30,1,2022-03-14 12:30:00
486,3/14/2022 12:45,1,2022-03-14 12:45:00
487,3/14/2022 13:00,1,2022-03-14 13:00:00
488,3/14/2022 13:15,1,2022-03-14 13:15:00
489,3/14/2022 13:30,1,2022-03-14 13:30:00
490,3/14/2022 13:45,1,2022-03-14 13:45:00
491,3/14/2022 14:00,1,2022-03-14 14:00:00
492,3/14/2022 14:15,1,2022-03-14 14:15:00
493,3/14/2022 14:30,1,2022-03-14 14:30:00
494,3/14/2022 14:45,1,2022-03-14 14:45:00
495,3/14/2022 15:00,1,2022-03-14 15:00:00
