Date,StatusKey,Code,StatusKey
2022-10-14,special assignment,ATL Ops Sup 7,16
2022-10-14,system issues,ATL Ops Sup 5,6
2022-10-14,tc issues,ATL Ops Sup 5,6
2022-10-14,tc issues,ATL Ops Sup 6,1
2022-10-14,tc issues,ATL Ops Sup 7,10
2022-10-15,acw,ATL Ops Sup 5,55
2022-10-15,acw,ATL Ops Sup 6,18
2022-10-15,acw,ATL Ops Sup 7,140
2022-10-15,at lunch,ATL Ops Sup 5,12
2022-10-15,at lunch,ATL Ops Sup 6,2
2022-10-15,at lunch,ATL Ops Sup 7,9
2022-10-15,escalation wait,ATL Ops Sup 5,2
2022-10-15,escalation wait,ATL Ops Sup 6,2
2022-10-15,escalation wait,ATL Ops Sup 7,4
2022-10-15,follow up,ATL Ops Sup 5,54
2022-10-15,follow up,ATL Ops Sup 6,10
2022-10-15,follow up,ATL Ops Sup 7,76
2022-10-15,on call,ATL Ops Sup 5,70
2022-10-15,on call,ATL Ops Sup 6,23
2022-10-15,on call,ATL Ops Sup 7,104
2022-10-15,personal break,ATL Ops Sup 5,3
2022-10-15,personal break,ATL Ops Sup 6,3
2022-10-15,personal break,ATL Ops Sup 7,7
2022-10-15,scheduled break,ATL Ops Sup 5,18
2022-10-15,scheduled break,ATL Ops Sup 6,4
2022-10-15,scheduled break,ATL Ops Sup 7,17
2022-10-15,special assignment,ATL Ops Sup 5,8
2022-10-15,tc issues,ATL Ops Sup 5,11
2022-10-15,tc issues,ATL Ops Sup 6,4
2022-10-16,acw,ATL Ops Sup 5,40
2022-10-16,acw,ATL Ops Sup 6,33
2022-10-16,acw,ATL Ops Sup 7,32
2022-10-16,at a training session,ATL Ops Sup 5,4
2022-10-16,at lunch,ATL Ops Sup 5,15
2022-10-16,at lunch,ATL Ops Sup 6,2
2022-10-16,at lunch,ATL Ops Sup 7,6
2022-10-16,escalation wait,ATL Ops Sup 6,1
2022-10-16,follow up,ATL Ops Sup 5,61
2022-10-16,follow up,ATL Ops Sup 6,16
2022-10-16,follow up,ATL Ops Sup 7,27
2022-10-16,on call,ATL Ops Sup 5,64
2022-10-16,on call,ATL Ops Sup 6,30
2022-10-16,on call,ATL Ops Sup 7,47
2022-10-16,personal break,ATL Ops Sup 5,2
2022-10-16,personal break,ATL Ops Sup 6,2
2022-10-16,personal break,ATL Ops Sup 7,3
2022-10-16,scheduled break,ATL Ops Sup 5,14
2022-10-16,scheduled break,ATL Ops Sup 6,5
2022-10-16,scheduled break,ATL Ops Sup 7,8
2022-10-16,tc issues,ATL Ops Sup 5,15
2022-10-17,acw,ATL Ops Sup 5,220
2022-10-17,acw,ATL Ops Sup 6,248
2022-10-17,acw,ATL Ops Sup 7,253
2022-10-17,at a training session,ATL Ops Sup 5,1
2022-10-17,at a training session,ATL Ops Sup 6,1
2022-10-17,at a training session,ATL Ops Sup 7,2
