UserId,Date,StatusKey,Code,Min
DHANCHETT,2022-10-10,acw,Team 2,31.5333333333333
DHANCHETT,2022-10-10,at lunch,Team 2,28.75
DHANCHETT,2022-10-10,escalation wait,Team 2,8.08333333333333
DHANCHETT,2022-10-10,follow up,Team 2,0.666666666666667
DHANCHETT,2022-10-10,on call,Team 2,290.333333333333
DHANCHETT,2022-10-10,scheduled break,Team 2,31.1666666666667
DHANCHETT,2022-10-12,acw,Team 2,29.8333333333333
DHANCHETT,2022-10-12,at lunch,Team 2,30.0166666666667
DHANCHETT,2022-10-12,escalation wait,Team 2,0.0333333333333333
DHANCHETT,2022-10-12,follow up,Team 2,0.583333333333333
DHANCHETT,2022-10-12,on call,Team 2,274.133333333333
DHANCHETT,2022-10-12,scheduled break,Team 2,31.2
DHANCHETT,2022-10-13,acw,Team 2,21.1333333333333
DHANCHETT,2022-10-13,at lunch,Team 2,30.0666666666667
DHANCHETT,2022-10-13,escalation wait,Team 2,2.35
DHANCHETT,2022-10-13,follow up,Team 2,0.316666666666667
DHANCHETT,2022-10-13,on call,Team 2,227.066666666667
DHANCHETT,2022-10-13,scheduled break,Team 2,31.55
DHANCHETT,2022-10-14,acw,Team 2,26.9666666666667
DHANCHETT,2022-10-14,escalation wait,Team 2,0.0333333333333333
DHANCHETT,2022-10-14,follow up,Team 2,0.466666666666667
DHANCHETT,2022-10-14,on call,Team 2,253.566666666667
DHANCHETT,2022-10-14,scheduled break,Team 2,71.7333333333333
DHANCHETT,2022-10-17,acw,Team 2,49.05
DHANCHETT,2022-10-17,at lunch,Team 2,30.3333333333333
DHANCHETT,2022-10-17,escalation wait,Team 2,7.35
DHANCHETT,2022-10-17,follow up,Team 2,0.766666666666667
DHANCHETT,2022-10-17,on call,Team 2,321.883333333333
DHANCHETT,2022-10-17,scheduled break,Team 2,32.6666666666667
DHANCHETT,2022-10-19,acw,Team 2,33.6833333333333
DHANCHETT,2022-10-19,at lunch,Team 2,30.1333333333333
DHANCHETT,2022-10-19,escalation wait,Team 2,0.05
DHANCHETT,2022-10-19,follow up,Team 2,0.616666666666667
DHANCHETT,2022-10-19,on call,Team 2,245.416666666667
DHANCHETT,2022-10-19,scheduled break,Team 2,30.9833333333333
DHANCHETT,2022-10-20,acw,Team 2,30.4333333333333
DHANCHETT,2022-10-20,at lunch,Team 2,30.8
DHANCHETT,2022-10-20,escalation wait,Team 2,0.0333333333333333
DHANCHETT,2022-10-20,follow up,Team 2,0.5
DHANCHETT,2022-10-20,on call,Team 2,341.25
DHANCHETT,2022-10-20,scheduled break,Team 2,30.0833333333333
DHANCHETT,2022-10-21,acw,Team 2,23.2833333333333
DHANCHETT,2022-10-21,at lunch,Team 2,30.3666666666667
DHANCHETT,2022-10-21,escalation wait,Team 2,12.7166666666667
DHANCHETT,2022-10-21,follow up,Team 2,0.483333333333333
DHANCHETT,2022-10-21,on call,Team 2,284.883333333333
DHANCHETT,2022-10-21,scheduled break,Team 2,30
DHANCHETT,2022-10-24,acw,Team 2,31.9333333333333
DHANCHETT,2022-10-24,at lunch,Team 2,30.5
DHANCHETT,2022-10-24,escalation wait,Team 2,0.05
DHANCHETT,2022-10-24,follow up,Team 2,0.716666666666667
DHANCHETT,2022-10-24,on call,Team 2,358.6
DHANCHETT,2022-10-24,scheduled break,Team 2,30.8666666666667
DHANCHETT,2022-10-25,acw,Team 2,42.9833333333333
DHANCHETT,2022-10-25,at lunch,Team 2,29.9666666666667
DHANCHETT,2022-10-25,escalation wait,Team 2,2.05
DHANCHETT,2022-10-25,follow up,Team 2,0.833333333333333
DHANCHETT,2022-10-25,on call,Team 2,245.016666666667
DHANCHETT,2022-10-25,scheduled break,Team 2,33.0333333333333
DHANCHETT,2022-10-26,acw,Team 2,24.9
DHANCHETT,2022-10-26,at lunch,Team 2,31.3166666666667
DHANCHETT,2022-10-26,escalation wait,Team 2,0.0666666666666667
DHANCHETT,2022-10-26,follow up,Team 2,0.45
DHANCHETT,2022-10-26,on call,Team 2,346.416666666667
DHANCHETT,2022-10-26,scheduled break,Team 2,31.0833333333333
DHANCHETT,2022-10-28,acw,Team 2,43.7
DHANCHETT,2022-10-28,at lunch,Team 2,29.7333333333333
DHANCHETT,2022-10-28,escalation wait,Team 2,0.0666666666666667
DHANCHETT,2022-10-28,follow up,Team 2,0.916666666666667
DHANCHETT,2022-10-28,on call,Team 2,302.283333333333
DHANCHETT,2022-10-28,scheduled break,Team 2,30.5666666666667
DHANCHETT,2022-10-31,acw,Team 2,38.1666666666667
DHANCHETT,2022-10-31,at lunch,Team 2,30.6833333333333
DHANCHETT,2022-10-31,escalation wait,Team 2,0.1
DHANCHETT,2022-10-31,follow up,Team 2,0.483333333333333
DHANCHETT,2022-10-31,on call,Team 2,309.783333333333
DHANCHETT,2022-10-31,scheduled break,Team 2,31.6166666666667
DHANCHETT,2022-11-01,acw,Team 2,26.5833333333333
DHANCHETT,2022-11-01,at lunch,Team 2,29.5833333333333
DHANCHETT,2022-11-01,escalation wait,Team 2,19.6
DHANCHETT,2022-11-01,follow up,Team 2,0.633333333333333
DHANCHETT,2022-11-01,on call,Team 2,299.45
DHANCHETT,2022-11-01,scheduled break,Team 2,29.5
DHANCHETT,2022-11-02,acw,Team 2,25.3666666666667
DHANCHETT,2022-11-02,at lunch,Team 2,33.25
DHANCHETT,2022-11-02,escalation wait,Team 2,0.0666666666666667
DHANCHETT,2022-11-02,follow up,Team 2,0.483333333333333
DHANCHETT,2022-11-02,on call,Team 2,402.133333333333
DHANCHETT,2022-11-02,scheduled break,Team 2,33.5333333333333
DHANCHETT,2022-11-03,acw,Team 2,41.5833333333333
DHANCHETT,2022-11-03,at lunch,Team 2,33.3166666666667
DHANCHETT,2022-11-03,escalation wait,Team 2,20.3
DHANCHETT,2022-11-03,follow up,Team 2,0.616666666666667
DHANCHETT,2022-11-03,on call,Team 2,342.6
DHANCHETT,2022-11-03,scheduled break,Team 2,33.0666666666667
DHANCHETT,2022-11-04,acw,Team 2,43.6166666666667
DHANCHETT,2022-11-04,at lunch,Team 2,32.2833333333333
DHANCHETT,2022-11-04,escalation wait,Team 2,6
DHANCHETT,2022-11-04,follow up,Team 2,0.7
DHANCHETT,2022-11-04,on call,Team 2,360.316666666667
DHANCHETT,2022-11-04,scheduled break,Team 2,30.8166666666667
DHANCHETT,2022-11-07,acw,Team 2,37.1
DHANCHETT,2022-11-07,at lunch,Team 2,29.9833333333333
DHANCHETT,2022-11-07,escalation wait,Team 2,9.4
DHANCHETT,2022-11-07,follow up,Team 2,0.9
DHANCHETT,2022-11-07,on call,Team 2,281.566666666667
DHANCHETT,2022-11-07,scheduled break,Team 2,29.5833333333333
DHANCHETT,2022-11-08,acw,Team 2,5.83333333333333
DHANCHETT,2022-11-08,escalation wait,Team 2,0.0333333333333333
DHANCHETT,2022-11-08,follow up,Team 2,0.0833333333333333
DHANCHETT,2022-11-08,on call,Team 2,97.1333333333333
DHANCHETT,2022-11-08,scheduled break,Team 2,17.3
DHANCHETT,2022-11-09,acw,Team 2,40.6333333333333
DHANCHETT,2022-11-09,at lunch,Team 2,31.1833333333333
DHANCHETT,2022-11-09,escalation wait,Team 2,26.85
DHANCHETT,2022-11-09,follow up,Team 2,0.583333333333333
DHANCHETT,2022-11-09,on call,Team 2,354.816666666667
DHANCHETT,2022-11-09,scheduled break,Team 2,29.8833333333333
DHANCHETT,2022-11-10,acw,Team 2,17.9166666666667
DHANCHETT,2022-11-10,at lunch,Team 2,31.55
DHANCHETT,2022-11-10,escalation wait,Team 2,0.05
DHANCHETT,2022-11-10,follow up,Team 2,0.183333333333333
DHANCHETT,2022-11-10,on call,Team 2,204.033333333333
DHANCHETT,2022-11-10,scheduled break,Team 2,31.2833333333333
DHANCHETT,2022-11-11,acw,Team 2,19.6333333333333
DHANCHETT,2022-11-11,at lunch,Team 2,30.4166666666667
DHANCHETT,2022-11-11,escalation wait,Team 2,22.8833333333333
DHANCHETT,2022-11-11,follow up,Team 2,0.55
DHANCHETT,2022-11-11,on call,Team 2,269.083333333333
DHANCHETT,2022-11-11,scheduled break,Team 2,29.95
DHANCHETT,2022-11-11,tc issues,Team 2,7.75
DHANCHETT,2022-11-14,acw,Team 2,23.6166666666667
DHANCHETT,2022-11-14,at lunch,Team 2,29.9
DHANCHETT,2022-11-14,escalation wait,Team 2,30.6333333333333
DHANCHETT,2022-11-14,follow up,Team 2,0.6
DHANCHETT,2022-11-14,on call,Team 2,309.433333333333
DHANCHETT,2022-11-14,scheduled break,Team 2,30.2666666666667
DHANCHETT,2022-11-15,acw,Team 2,37.4166666666667
DHANCHETT,2022-11-15,at lunch,Team 2,31.35
DHANCHETT,2022-11-15,escalation wait,Team 2,0.216666666666667
DHANCHETT,2022-11-15,follow up,Team 2,0.583333333333333
DHANCHETT,2022-11-15,on call,Team 2,356.866666666667
